nov 11/21:41:28.321 DEBUG2 : 		STLinkWriteReg Index=0x0F Data=0x20000240
nov 11/21:41:28.323 DEBUG2 : 		ReadReg Index=0x00
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x01
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x02
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x03
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x04
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x05
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x06
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x07
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x08
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x09
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x0A
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x0B
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x0C
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x11
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x12
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x0E
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x0F
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x10
nov 11/21:41:28.331 DEBUG2 : 		ReadReg Index=0x14
nov 11/21:41:28.333 DEBUG2 : 		STLinkWriteReg Index=0x10 Data=0x61000000
nov 11/21:41:28.335 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
nov 11/21:41:28.335 DEBUG2 : 		ReadReg Index=0x0F
nov 11/21:41:28.347 DEBUG2 : 		ReadTarget16 Address=0x20000240 AP=0 Count=2 Data=0xF7FF
nov 11/21:41:28.347 DEBUG2 : 		<Call to _ExecDeviceFlashExecutionStarted: macro undefined
nov 11/21:41:28.347 DEBUG2 : 		<Call to execUserFlashExecutionStarted: macro undefined
nov 11/21:41:28.351 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:28.351 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:28.355 DEBUG2 : 		WriteTarget32 Address=0xE0001028 AP=0 Count=4 Data=0x00000000
nov 11/21:41:28.359 DEBUG2 : 		WriteTarget32 Address=0xE0001038 AP=0 Count=4 Data=0x00000000
nov 11/21:41:28.363 DEBUG2 : 		WriteTarget32 Address=0xE0001048 AP=0 Count=4 Data=0x00000000
nov 11/21:41:28.367 DEBUG2 : 		WriteTarget32 Address=0xE0001058 AP=0 Count=4 Data=0x00000000
nov 11/21:41:28.371 DEBUG2 : 		Go >
nov 11/21:41:28.397 DEBUG2 : 		Go <
nov 11/21:41:28.413 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.429 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.445 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.461 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.475 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.492 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.507 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.522 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.537 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.552 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.568 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.584 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.600 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.616 DEBUG2 : 		STLinkIsCpuHalted - Running
nov 11/21:41:28.655 DEBUG2 : 		STLinkIsCpuHalted - Stopped
nov 11/21:41:28.655 DEBUG2 : 		<Call to _ExecDeviceFlashExecutionStopped: macro undefined
nov 11/21:41:28.655 DEBUG2 : 		<Call to execUserFlashExecutionStopped: macro undefined
nov 11/21:41:28.655 DEBUG2 : 		ReadReg Index=0x0F
nov 11/21:41:28.667 DEBUG2 : 		ReadTarget16 Address=0x200000C0 AP=0 Count=2 Data=0xE7FE
nov 11/21:41:28.671 DEBUG2 : 		ReadTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:28.671 DEBUG2 : 		WriteTarget32 Address=0xE000EDFC AP=0 Count=4 Data=0x01000000
nov 11/21:41:28.675 DEBUG2 : 		WriteTarget32 Address=0xE0001028 AP=0 Count=4 Data=0x00000000
nov 11/21:41:28.679 DEBUG2 : 		WriteTarget32 Address=0xE0001038 AP=0 Count=4 Data=0x00000000
nov 11/21:41:28.683 DEBUG2 : 		WriteTarget32 Address=0xE0001048 AP=0 Count=4 Data=0x00000000
nov 11/21:41:28.687 DEBUG2 : 		WriteTarget32 Address=0xE0001058 AP=0 Count=4 Data=0x00000000
nov 11/21:41:28.691 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 0
nov 11/21:41:28.695 DEBUG2 : 		ReadTarget32 Address=0x20002584 AP=0 Count=20 Data=0x08000000 ...
nov 11/21:41:28.695 DEBUG2 : 		WriteTarget32 Address=0x20000300 AP=0 Count=64 Data=0x08002000 ...
nov 11/21:41:28.699 DEBUG2 : 		WriteTarget32 Address=0x20002584 AP=0 Count=20 Data=0x00000000 ...
